fra;week;P_f;P_h;P;T_f;T_h;T;cl_age90;pop
FR;2020-S49;5714;4220;9956;92170;65611;158128;29;7476787.18780411
FR;2020-S49;5905;4345;10270;98356;69953;168555;39;8295371.93193955
FR;2020-S49;5746;4514;10278;89540;67133;156882;49;8592886.15993015
FR;2020-S49;5397;4438;9853;89225;67265;156733;59;8792674.76801071
FR;2020-S49;3289;3224;6534;64541;61176;125945;69;8004082.76030424
FR;2020-S49;2476;2279;4764;49234;48539;97870;79;5695639.13079729
FR;2020-S49;3798;2073;5874;52655;31122;83859;89;3245280.60813097
FR;2020-S49;3345;947;4294;41356;11809;53224;90;912580.606272853
FR;2020-S49;40979;31457;72716;647815;494636;1145706;0;67114995
FR;2020-S50;1279;1341;2662;17157;18965;36737;09;7763205.6862729
FR;2020-S50;4540;4559;9193;63463;63139;127739;19;8336486.16053724
FR;2020-S50;6401;4974;11402;109287;79241;188951;29;7476787.18780411
FR;2020-S50;6593;5132;11746;116585;85599;202500;39;8295371.93193955
FR;2020-S50;6388;5072;11494;101902;78668;180902;49;8592886.15993015
FR;2020-S50;5802;5064;10896;101492;78118;179896;59;8792674.76801071
FR;2020-S50;3735;3636;7390;74069;70809;145166;69;8004082.76030424
FR;2020-S50;2789;2648;5446;54244;53767;108147;79;5695639.13079729
FR;2020-S50;3765;2134;5905;53576;32799;86470;89;3245280.60813097
FR;2020-S50;3167;922;4091;39667;11918;51635;90;912580.606272853
FR;2020-S50;44472;35490;80252;731636;573265;1308601;0;67114995
FR;2020-S51;1384;1482;2918;31548;34346;66979;09;7763205.6862729
FR;2020-S51;5760;5573;11437;138130;135705;276444;19;8336486.16053724
FR;2020-S51;8052;5996;14083;196606;148247;345492;29;7476787.18780411
FR;2020-S51;8293;6638;14950;210567;161581;372639;39;8295371.93193955
FR;2020-S51;7912;6308;14244;188669;153118;342201;49;8592886.15993015
FR;2020-S51;7330;6358;13712;171729;137157;309259;59;8792674.76801071
FR;2020-S51;4830;4789;9641;129964;118716;249176;69;8004082.76030424
FR;2020-S51;3540;3297;6845;89181;85794;175137;79;5695639.13079729
FR;2020-S51;4158;2435;6602;64947;42215;107297;89;3245280.60813097
FR;2020-S51;3370;1010;4388;42176;12852;55101;90;912580.606272853
FR;2020-S51;54644;43906;98862;1263783;1030061;2300364;0;67114995
FR;2020-S52;1101;1136;2273;38623;41273;80993;09;7763205.6862729
FR;2020-S52;4323;4177;8573;158936;152649;313944;19;8336486.16053724
FR;2020-S52;7016;5546;12587;271737;213351;486026;29;7476787.18780411
FR;2020-S52;7137;5502;12653;277831;225961;504316;39;8295371.93193955
FR;2020-S52;6476;5539;12035;255618;215769;471930;49;8592886.15993015
FR;2020-S52;6296;5464;11770;229288;186759;416468;59;8792674.76801071
FR;2020-S52;4103;4150;8274;159444;142075;301978;69;8004082.76030424
FR;2020-S52;3008;2707;5727;102897;93573;196628;79;5695639.13079729
FR;2020-S52;3503;1988;5500;63578;41213;104899;89;3245280.60813097
FR;2020-S52;2650;852;3504;38429;11913;50468;90;912580.606272853
FR;2020-S52;45625;37071;82927;1596656;1324902;2928330;0;67114995
FR;2020-S53;1312;1292;2645;16653;18012;35104;09;7763205.6862729
FR;2020-S53;5360;5082;10526;92663;83702;177378;19;8336486.16053724
FR;2020-S53;8526;7046;15592;193212;159149;352839;29;7476787.18780411
FR;2020-S53;8341;6809;15168;157192;132765;290259;39;8295371.93193955
FR;2020-S53;7346;6312;13671;130481;109886;240611;49;8592886.15993015
FR;2020-S53;7204;6275;13494;134531;107033;241810;59;8792674.76801071
FR;2020-S53;5232;4923;10177;101357;92473;194123;69;8004082.76030424
FR;2020-S53;3604;3306;6924;65463;60982;126572;79;5695639.13079729
FR;2020-S53;3655;2122;5782;55424;32558;88088;89;3245280.60813097
FR;2020-S53;2468;778;3250;38439;11371;49906;90;912580.606272853
FR;2020-S53;53058;43952;97252;985557;808136;1797064;0;67114995
FR;2021-S01;1827;2019;3908;18395;20172;39131;09;7763205.6862729
FR;2021-S01;7852;7451;15439;93292;87489;182086;19;8336486.16053724
FR;2021-S01;11506;9857;21403;193113;150589;344264;29;7476787.18780411
FR;2021-S01;10487;8757;19283;172757;136876;310045;39;8295371.93193955
FR;2021-S01;9457;8144;17634;153727;122987;277109;49;8592886.15993015
FR;2021-S01;9164;7819;17012;158805;123545;282763;59;8792674.76801071
FR;2021-S01;6429;6097;12561;112775;103771;217037;69;8004082.76030424
FR;2021-S01;4371;3997;8384;76255;72954;149385;79;5695639.13079729
FR;2021-S01;4529;2646;7185;68822;40484;109435;89;3245280.60813097
FR;2021-S01;3150;1057;4209;48376;14187;62648;90;912580.606272853
FR;2021-S01;68784;57860;127052;1096508;873261;1974343;0;67114995
FR;2021-S02;2111;2210;4413;25071;27205;53172;09;7763205.6862729
FR;2021-S02;7923;7955;16037;107394;104772;214019;19;8336486.16053724
FR;2021-S02;10544;8620;19204;170121;128255;299011;29;7476787.18780411
FR;2021-S02;10404;8571;19009;169049;132713;302173;39;8295371.93193955
FR;2021-S02;10099;8403;18529;154002;124276;278628;49;8592886.15993015
FR;2021-S02;9516;8365;17903;152670;122548;275568;59;8792674.76801071
FR;2021-S02;6210;6201;12441;107798;101689;209903;69;8004082.76030424
FR;2021-S02;4508;4217;8733;75008;72858;148010;79;5695639.13079729
FR;2021-S02;4975;2958;7947;66259;40524;106904;89;3245280.60813097
FR;2021-S02;3846;1207;5065;46583;13813;60475;90;912580.606272853
FR;2021-S02;70151;58727;129403;1074135;868928;1948445;0;67114995
FR;2021-S03;2858;2952;5932;34579;37538;73463;09;7763205.6862729
FR;2021-S03;9062;9288;18541;121565;120948;244682;19;8336486.16053724
FR;2021-S03;10960;8920;19913;170940;128002;299621;29;7476787.18780411
FR;2021-S03;11492;9104;20619;182204;136788;319305;39;8295371.93193955
FR;2021-S03;11450;9512;20986;159500;127773;287566;49;8592886.15993015
